Year,Kid total,Poor kid total,Poor kid percent,Fam kid total,Poor fam kid total,Poor fam kid percent,Middle total,Poor middle total,Poor middle percent,Old total,Poor old total,Poor old percent
2017,"5,133",537,10.5,"5,088",524,10.3,"13,970","1,303",9.3,"2,408",263,10.9
2016,"4,922",495,10.1,"4,874",477,9.8,"13,581","1,301",9.6,"2,253",266,11.8
2015,"4,728",539,11.4,"4,631",489,10.6,"13,133","1,443",11,"2,176",252,11.6
2014,"4,792",577,12,"4,722",544,11.5,"12,834","1,390",10.8,"2,059",301,14.6
20133,"4,900",628,12.8,"4,858",600,12.4,"12,393","1,457",11.8,"1,889",312,16.5
20134,"4,740",457,9.6,"4,701",442,9.4,"12,374","1,258",10.2,"1,910",259,13.6
2012,"4,557",570,12.5,"4,485",533,11.9,"11,913","1,291",10.8,"1,703",211,12.4
2011,"4,572",607,13.3,"4,495",566,12.6,"11,660","1,397",12,"1,581",185,11.7
20105,"4,308",586,13.6,"4,256",560,13.2,"11,414","1,265",11.1,"1,515",214,14.1
2009,"3,996",531,13.3,"3,946",507,12.9,"9,898","1,154",11.7,"1,378",216,15.7
2008,"3,717",494,13.3,"3,678",476,12.9,"9,507","1,031",10.8,"1,319",162,12.3
2007,"3,606",431,11.9,"3,558",402,11.3,"9,531",892,9.4,"1,293",144,11.2
2006,"3,573",408,11.4,"3,530",398,11.3,"9,553",897,9.4,"1,205",142,11.8
2005,"3,472",359,10.3,"3,435",352,10.2,"9,115",999,11,"1,144",144,12.6
20046,"3,406",329,9.7,"3,367",311,9.2,"8,780",819,9.3,"1,104",147,13.3
2003,"3,316",420,12.7,"3,279",406,12.4,"8,510",956,11.2,"1,065",152,14.2
2002,"3,199",353,11,"3,159",338,10.7,"8,292",804,9.7,995,86,8.7
ASIAN ALONE26,,,,,,,,,,,,
2021,"4,199",371,8.8,"4,185",365,8.7,"13,577","1,167",8.6,"2,900",385,13.3
20201,"4,284",358,8.4,"4,257",347,8.2,"13,422",985,7.3,"2,646",302,11.4
2019,"3,916",286,7.3,"3,887",272,7,"13,373",932,7,"2,638",246,9.3
2018,"3,998",453,11.3,"3,948",426,10.8,"13,292","1,254",9.4,"2,479",289,11.7
20172,"4,058",420,10.4,"4,023",405,10.1,"13,120","1,193",9.1,"2,348",277,11.8
2017,"4,019",455,11.3,"3,985",442,11.1,"13,097","1,244",9.5,"2,358",255,10.8
2016,"3,875",430,11.1,"3,839",412,10.7,"12,796","1,217",9.5,"2,209",261,11.8
2015,"3,786",466,12.3,"3,693",420,11.4,"12,325","1,360",11,"2,130",252,11.8
2014,"3,750",524,14,"3,681",492,13.4,"12,012","1,314",10.9,"2,029",299,14.7
20133,"3,766",555,14.7,"3,746",538,14.4,"11,646","1,393",12,"1,845",307,16.7
20134,"3,651",367,10.1,"3,621",354,9.8,"11,531","1,162",10.1,"1,881",256,13.6
2012,"3,596",497,13.8,"3,542",470,13.3,"11,153","1,220",10.9,"1,669",205,12.3
2011,"3,657",494,13.5,"3,600",466,13,"10,873","1,297",11.9,"1,555",182,11.7
20105,"3,431",494,14.4,"3,399",477,14,"10,696","1,191",11.1,"1,484",214,14.4
2009,"3,311",463,14,"3,271",444,13.6,"9,344","1,069",11.4,"1,350",213,15.8
2008,"3,052",446,14.6,"3,016",430,14.2,"8,961",974,10.9,"1,296",157,12.1
2007,"2,980",374,12.5,"2,932",345,11.8,"9,012",832,9.2,"1,265",143,11.3
2006,"2,956",360,12.2,"2,915",351,12,"9,039",851,9.4,"1,182",142,12
2005,"2,871",317,11.1,"2,842",312,11,"8,591",941,11,"1,118",143,12.8
20046,"2,854",281,9.9,"2,823",265,9.4,"8,294",774,9.3,"1,083",146,13.5
2003,"2,759",344,12.5,"2,726",331,12.1,"8,044",907,11.3,"1,052",151,14.3
2002,"2,683",315,11.7,"2,648",302,11.4,"7,881",764,9.7,977,82,8.4
ASIAN AND PACIFIC ISLANDER24,,,,,,,,,,,,
2001,"3,215",369,11.5,"3,169",353,11.1,"8,352",814,9.7,899,92,10.2
20007,"3,294",420,12.7,"3,256",407,12.5,"8,500",756,8.9,878,82,9.3
19998,"3,212",381,11.9,"3,178",367,11.5,"7,879",807,10.2,864,96,11.1
1998,"3,137",564,18,"3,099",542,17.5,"6,951",698,10,785,97,12.4
1997,"3,096",628,20.3,"3,061",608,19.9,"6,680",753,11.3,705,87,12.3
1996,"2,924",571,19.5,"2,899",553,19.1,"6,484",821,12.7,647,63,9.7
19959,"2,900",564,19.5,"2,858",532,18.6,"6,123",757,12.4,622,89,14.3
199410,"1,739",318,18.3,"1,719",308,17.9,"4,401",589,13.4,513,67,13
199311,"2,061",375,18.2,"2,029",358,17.6,"4,871",680,14,503,79,15.6
199212,"2,218",363,16.4,"2,199",352,16,"5,067",568,11.2,494,53,10.8
199113,"2,056",360,17.5,"2,036",348,17.1,"4,582",565,12.3,555,70,12.7
1990,"2,126",374,17.6,"2,098",356,17,"4,375",422,9.6,514,62,12.1
1989,"1,983",392,19.8,"1,945",368,18.9,"4,225",512,12.1,465,34,7.4
198814,"1,970",474,24.1,"1,949",458,23.5,"4,035",583,14.4,442,60,13.5
198714,"1,937",455,23.5,"1,908",432,22.7,"4,010",510,12.7,375,56,15
AMERICAN INDIAN AND ALASKA NATIVE ALONE OR IN COMBINATION,,,,,,,,,,,,
2021,"2,148",570,26.6,"2,103",536,25.5,"4,111",847,20.6,807,133,16.5
20201,"1,976",411,20.8,"1,947",393,20.2,"4,079",615,15.1,703,85,12.1
2019,"1,896",343,18.1,"1,881",331,17.6,"3,926",611,15.6,719,107,14.9
2018,"2,023",497,24.6,"2,003",489,24.4,"4,072",721,17.7,721,117,16.2
20172,"2,016",549,27.2,"1,993",532,26.7,"4,193",743,17.7,706,110,15.6
2017,"2,002",521,26,"1,981",505,25.5,"4,210",730,17.3,702,105,14.9
2016,"2,067",518,25.1,"2,034",496,24.4,"4,090",757,18.5,679,113,16.6
2015,"2,194",620,28.3,"2,150",584,27.2,"4,281",790,18.5,636,97,15.3
2014,"2,138",620,29,"2,111",604,28.6,"3,937",823,20.9,604,83,13.7
20133,"1,793",525,29.3,"1,755",499,28.4,"3,518",727,20.7,519,121,23.2
20134,"1,971",599,30.4,"1,943",586,30.1,"3,841",821,21.4,556,69,12.5
2012,"1,924",712,37,"1,890",687,36.4,"3,831",961,25.1,529,86,16.3
2011,"1,967",615,31.3,"1,951",607,31.1,"3,808",845,22.2,450,55,12.2
20105,"2,023",690,34.1,"1,956",636,32.5,"3,617",793,21.9,434,69,15.9
2009,"1,637",505,30.9,"1,598",482,30.2,"3,198",659,20.6,409,53,12.9
2008,"1,747",491,28.1,"1,700",470,27.7,"3,281",652,19.9,443,67,15.2
2007,"1,566",357,22.8,"1,498",329,22,"3,286",635,19.3,440,84,19
2006,"1,538",446,29,"1,510",426,28.2,"3,173",632,19.9,422,71,16.8
2005,"1,603",404,25.2,"1,560",388,24.9,"3,230",637,19.7,401,53,13.2
20046,"1,560",371,23.8,"1,511",352,23.3,"3,319",597,18,391,59,15
2003,"1,625",384,23.6,"1,589",366,23,"3,087",508,16.4,349,48,13.8
2002,"1,615",405,25.1,"1,567",365,23.3,"2,907",482,16.6,321,64,20
AMERICAN INDIAN AND ALASKA NATIVE ALONE27,,,,,,,,,,,,
2021,"1,154",341,29.6,"1,120",312,27.8,"2,539",574,22.6,415,82,19.7
20201,"1,098",278,25.4,"1,079",267,24.8,"2,466",454,18.4,386,59,15.3
2019,"1,036",223,21.5,"1,022",211,20.7,"2,301",369,16.1,398,85,21.3
2018,986,278,28.2,972,273,28.1,"2,325",465,20,351,66,18.7
20172,959,278,29,943,267,28.3,"2,323",455,19.6,335,57,17.1
2017,948,253,26.7,935,243,26,"2,335",438,18.8,336,58,17.3
2016,"1,042",265,25.5,"1,019",248,24.4,"2,326",475,20.4,333,71,21.2
2015,"1,298",399,30.8,"1,264",370,29.3,"2,649",536,20.3,323,59,18.4
2014,"1,175",415,35.3,"1,155",402,34.8,"2,317",540,23.3,315,58,18.3
20133,958,295,30.8,952,291,30.6,"1,868",468,25,249,75,30
20134,964,337,34.9,951,324,34.1,"2,114",549,25.9,266,29,10.7
2012,"1,048",473,45.1,"1,019",453,44.4,"2,135",651,30.5,276,60,21.7
2011,943,360,38.2,935,357,38.2,"2,060",530,25.7,207,27,13
20105,938,367,39.1,912,351,38.5,"1,964",492,25,174,28,15.9
2009,813,286,35.1,784,264,33.7,"1,689",413,24.4,169,34,20
2008,887,328,37,859,315,36.7,"1,770",408,23.1,188,34,18
2007,790,207,26.2,742,185,24.9,"1,743",393,22.6,209,49,23.3
2006,734,285,38.8,715,273,38.1,"1,637",413,25.2,166,47,28.2
2005,675,219,32.5,655,214,32.6,"1,426",357,25.1,137,26,18.9
20046,685,207,30.2,668,200,30,"1,478",350,23.7,156,28,17.8
2003,725,218,30,707,208,29.4,"1,385",290,20.9,131,25,19.1
2002,764,250,32.8,730,218,29.8,"1,385",268,19.3,125,29,23.6
AMERICAN INDIAN AND ALASKA NATIVE24,,,,,,,,,,,,
2001,"1,161",344,29.6,"1,124",313,27.9,"2,075",374,18,227,40,17.4
20007,988,279,28.2,965,269,27.9,"1,813",367,20.2,199,50,25.1
19998,"1,152",448,38.9,"1,113",419,37.7,"1,774",397,22.4,210,52,24.7
1998,867,308,35.5,852,295,34.6,"1,478",247,16.7,127,16,12.7
1997,741,270,36.4,720,257,35.7,"1,466",303,20.7,133,21,15.7
1996,782,330,42.2,758,311,41.1,"1,466",364,24.9,150,37,24.5
19959,853,358,42,837,350,41.8,"1,344",331,24.6,124,29,23.3
199410,448,165,36.9,431,154,35.8,940,209,22.2,95,18,18.6
199311,514,172,33.5,502,162,32.3,"1,064",208,19.6,111,19,17.3
199212,648,245,37.8,623,228,36.6,"1,275",319,25,130,36,27.9
199113,670,292,43.5,650,275,42.3,"1,015",245,24.1,108,26,23.7
1990,563,211,37.4,547,196,35.8,892,210,23.5,104,23,22.1
1989,507,161,31.8,497,154,31,839,160,19,100,24,24.2
198814,500,198,39.5,478,182,38.1,843,210,24.9,110,32,28.7
198714,488,178,36.6,481,174,36.2,747,185,24.8,110,23,21.3
TWO OR MORE RACES24,,,,,,,,,,,,
2021,"4,349",673,15.5,"4,315",660,15.3,"4,230",541,12.8,587,83,14.2
20201,"4,293",690,16.1,"4,248",674,15.9,"4,424",471,10.6,503,48,9.6
2019,"4,084",595,14.6,"4,062",587,14.5,"4,330",501,11.6,506,38,7.6
2018,"4,126",763,18.5,"4,088",745,18.2,"4,159",552,13.3,508,65,12.8
20172,"3,981",835,21,"3,928",808,20.6,"3,975",546,13.7,467,60,12.9
2017,"4,011",808,20.2,"3,958",785,19.8,"3,995",541,13.5,469,59,12.7
2016,"3,879",736,19,"3,826",719,18.8,"3,764",521,13.8,451,55,12.3
2015,"3,658",736,20.1,"3,620",713,19.7,"3,556",543,15.3,408,44,10.8
2014,"3,580",748,20.9,"3,532",724,20.5,"3,521",573,16.3,372,32,8.6
20133,"3,775",900,23.9,"3,697",863,23.3,"3,564",584,16.4,400,78,19.5
20134,"3,789",832,22,"3,726",813,21.8,"3,550",569,16,392,49,12.4
2012,"3,598",843,23.4,"3,529",797,22.6,"3,404",571,16.8,347,48,13.8
2011,"3,482",806,23.1,"3,434",774,22.5,"3,361",601,17.9,323,36,11.1
20105,"3,534",888,25.1,"3,440",817,23.7,"3,285",560,17,353,59,16.8
2009,"2,700",683,25.3,"2,654",659,24.8,"2,699",456,16.9,316,29,9.1
2008,"2,570",488,19,"2,540",477,18.8,"2,625",409,15.6,307,44,14.3
2007,"2,321",423,18.2,"2,281",411,18,"2,567",383,14.9,284,40,13.9
2006,"2,333",465,19.9,"2,300",435,18.9,"2,475",316,12.8,295,30,10.2
2005,"2,395",421,17.6,"2,351",401,17,"2,773",390,14.1,305,29,9.4
20046,"2,272",436,19.2,"2,217",410,18.5,"2,752",374,13.6,274,37,13.4
2003,"2,192",414,18.9,"2,150",401,18.7,"2,609",330,12.7,252,26,10.4
2002,"2,085",339,16.3,"2,046",320,15.6,"2,346",308,13.1,238,39,16.4
HISPANIC (ANY RACE)28,,,,,,,,,,,,
2021,"18,647","4,168",22.4,"18,385","4,033",21.9,"38,622","5,547",14.4,"5,213",975,18.7
20201,"18,774","4,338",23.1,"18,512","4,195",22.7,"38,089","5,369",14.1,"4,906",813,16.6
2019,"18,608","3,888",20.9,"18,386","3,796",20.6,"37,207","4,836",13,"4,787",821,17.1
2018,"18,739","4,436",23.7,"18,479","4,316",23.4,"36,673","5,205",14.2,"4,544",884,19.5
20172,"18,595","4,643",25,"18,319","4,525",24.7,"36,136","5,446",15.1,"4,320",726,16.8
2017,"18,575","4,639",25,"18,312","4,519",24.7,"36,156","5,415",15,"4,322",736,17
2016,"18,385","4,890",26.6,"18,129","4,764",26.3,"35,113","5,542",15.8,"4,057",706,17.4
2015,"18,231","5,269",28.9,"17,944","5,139",28.6,"34,686","6,188",17.8,"3,863",676,17.5
2014,"17,995","5,745",31.9,"17,636","5,522",31.3,"33,873","6,701",19.8,"3,636",658,18.1
20133,"17,898","5,907",33,"17,496","5,638",32.2,"32,839","6,746",20.5,"3,443",704,20.4
20134,"17,837","5,415",30.4,"17,559","5,273",30,"32,903","6,654",20.2,"3,405",676,19.8
2012,"17,664","5,976",33.8,"17,341","5,773",33.3,"32,228","6,977",21.6,"3,213",663,20.6
2011,"17,600","6,008",34.1,"17,276","5,820",33.7,"31,643","6,667",21.1,"3,036",569,18.7
20105,"17,371","6,059",34.9,"16,964","5,815",34.3,"30,740","6,948",22.6,"2,860",516,18
2009,"16,965","5,610",33.1,"16,655","5,419",32.5,"29,031","6,224",21.4,"2,815",516,18.3
2008,"16,370","5,010",30.6,"16,138","4,888",30.3,"28,311","5,452",19.3,"2,717",525,19.3
2007,"15,647","4,482",28.6,"15,375","4,348",28.3,"27,731","4,970",17.9,"2,555",438,17.1
2006,"15,147","4,072",26.9,"14,907","3,959",26.6,"27,209","4,698",17.3,"2,428",472,19.4
2005,"14,654","4,143",28.3,"14,361","3,977",27.7,"26,051","4,765",18.3,"2,315",460,19.9
20046,"14,173","4,098",28.9,"13,929","3,985",28.6,"25,324","4,620",18.2,"2,194",403,18.4
2003,"13,730","4,077",29.7,"13,519","3,982",29.5,"24,490","4,568",18.7,"2,080",406,19.5
2002,"13,210","3,782",28.6,"12,971","3,653",28.2,"23,952","4,334",18.1,"2,053",439,21.4
2001,"12,763","3,570",28,"12,539","3,433",27.4,"22,653","4,014",17.7,"1,896",413,21.8
20007,"12,399","3,522",28.4,"12,115","3,342",27.6,"21,734","3,844",17.7,"1,822",381,20.9
19998,"12,188","3,693",30.3,"11,912","3,561",29.9,"20,782","3,843",18.5,"1,661",340,20.5
1998,"11,152","3,837",34.4,"10,921","3,670",33.6,"18,668","3,877",20.8,"1,696",356,21
1997,"10,802","3,972",36.8,"10,625","3,865",36.4,"18,217","3,951",21.7,"1,617",384,23.8
1996,"10,511","4,237",40.3,"10,255","4,090",39.9,"17,587","4,089",23.3,"1,516",370,24.4
19959,"10,213","4,080",40,"10,011","3,938",39.3,"16,673","4,153",24.9,"1,458",342,23.5
199410,"9,822","4,075",41.5,"9,621","3,956",41.1,"16,192","4,018",24.8,"1,428",323,22.6
199311,"9,462","3,873",40.9,"9,188","3,666",39.9,"15,708","3,956",25.2,"1,390",297,21.4
199212,"9,081","3,637",40,"8,829","3,440",39,"15,268","3,668",24,"1,298",287,22.1
199113,"7,648","3,094",40.4,"7,473","2,977",39.8,"13,279","3,008",22.7,"1,143",237,20.8
1990,"7,457","2,865",38.4,"7,300","2,750",37.7,"12,857","2,896",22.5,"1,091",245,22.5
1989,"7,186","2,603",36.2,"7,040","2,496",35.5,"12,536","2,616",20.9,"1,024",211,20.6
198814,"7,003","2,631",37.6,"6,908","2,576",37.3,"12,056","2,501",20.7,"1,005",225,22.4
198714,"6,792","2,670",39.3,"6,692","2,606",38.9,"11,718","2,509",21.4,885,243,27.5
1986,"6,646","2,507",37.7,"6,511","2,413",37.1,"11,206","2,406",21.5,906,204,22.5
198515,"6,475","2,606",40.3,"6,346","2,512",39.6,"10,685","2,411",22.6,915,219,23.9
198416,"6,068","2,376",39.2,"5,982","2,317",38.7,"10,029","2,254",22.5,819,176,21.5
1983,"6,066","2,312",38.1,"5,977","2,251",37.7,"9,697","2,148",22.5,782,173,22.1
1982,"5,527","2,181",39.5,"5,436","2,117",38.9,"8,262","1,963",23.8,596,159,26.6
198117,"5,369","1,925",35.9,"5,291","1,874",35.4,"8,084","1,642",20.3,568,146,25.7
1980,"5,276","1,749",33.2,"5,211","1,718",33,"7,740","1,563",20.2,582,179,30.8
197918,"5,483","1,535",28,"5,426","1,505",27.7,"7,314","1,232",16.8,574,154,26.8
1978,"5,012","1,384",27.6,"4,972","1,354",27.2,"6,527","1,098",16.8,539,125,23.2
1977,"5,028","1,422",28.3,"5,000","1,402",28,"6,500","1,164",17.9,518,113,21.9
1976,"4,771","1,443",30.2,"4,736","1,424",30.1,"6,034","1,212",20.1,464,128,27.7
1975,N,N,N,"4,896","1,619",33.1,N,N,N,N,137,32.6
197419,N,N,N,"4,939","1,414",28.6,N,N,N,N,117,28.9
1973,N,N,N,"4,910","1,364",N,N,N,N,N,95,24.9
1978,"5,012","1,384",27.6,"4,972","1,354",27.2,"6,527","1,098",16.8,539,125,23.2
1977,"5,028","1,422",28.3,"5,000","1,402",28,"6,500","1,164",17.9,518,113,21.9
1976,"4,771","1,443",30.2,"4,736","1,424",30.1,"6,034","1,212",20.1,464,128,27.7
1975,N,N,N,"4,896","1,619",33.1,N,N,N,N,137,32.6
197419,N,N,N,"4,939","1,414",28.6,N,N,N,N,117,28.9
1973,N,N,N,"4,910","1,364",N,N,N,N,N,95,24.9
